Pincode,Pickup,Delivery,city,state,Oda Charge BucketName,Oda Charge BucketValue,Opa Extra Tat,Oda Extra Tat
515711,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515721,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515722,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515731,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
515741,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515751,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515761,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515763,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515765,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515766,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515767,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515774,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515775,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515787,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515801,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515803,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515812,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515822,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515832,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515842,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515863,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515865,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515867,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515870,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515871,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515872,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517001,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517002,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517004,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517101,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,XX-XX,0,0,0
517102,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517112,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
517113,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517123,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517124,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517125,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517126,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517127,ACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
517128,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
517129,INACTIVE ,ACTIVE ,CHITTOOR,ANDHRA PRADESH,Outside Delivery Area ,1,0,3
